,Test,Ct_values,Date,sample_id
559,Normalization factor,25.49,2024-07-17,2
560,Target 1,33.95,2024-07-24,2
561,Target 2,35.82,2024-07-24,2
562,Extraction control,26.47,2024-07-24,2
563,Normalization factor,24.36,2024-07-24,2
564,Target 1,33.43,2024-08-01,2
565,Target 2,34.79,2024-08-01,2
566,Extraction control,25.33,2024-08-01,2
567,Normalization factor,22.78,2024-08-01,2
568,Target 1,36.0,2024-08-07,2
569,Target 2,ND,2024-08-07,2
570,Extraction control,27.26,2024-08-07,2
571,Normalization factor,27.79,2024-08-07,2
572,Target 1,31.61,2024-08-14,2
573,Target 2,33.09,2024-08-14,2
574,Extraction control,26.94,2024-08-14,2
575,Normalization factor,24.7,2024-08-14,2
576,Target 1,34.92,2024-08-21,2
577,Target 2,39.59,2024-08-21,2
578,Extraction control,25.91,2024-08-21,2
579,Normalization factor,23.41,2024-08-21,2
580,Target 1,31.64,2024-08-28,2
581,Target 2,32.99,2024-08-28,2
582,Extraction control,25.81,2024-08-28,2
583,Normalization factor,24.9,2024-08-28,2
584,Target 1,31.64,2024-09-04,2
585,Target 2,33.13,2024-09-04,2
586,Extraction control,24.81,2024-09-04,2
587,Normalization factor,23.71,2024-09-04,2
588,Target 1,33.36,2024-09-11,2
589,Target 2,36.06,2024-09-11,2
590,Extraction control,24.55,2024-09-11,2
591,Normalization factor,23.97,2024-09-11,2
592,Target 1,33.43,2024-09-18,2
593,Target 2,35.35,2024-09-18,2
594,Extraction control,24.78,2024-09-18,2
595,Normalization factor,24.8,2024-09-18,2
596,Target 1,33.27,2024-09-25,2
597,Target 2,35.8,2024-09-25,2
598,Extraction control,25.1,2024-09-25,2
599,Normalization factor,26.55,2024-09-25,2
600,Target 1,32.41,2024-10-02,2
601,Target 2,33.86,2024-10-02,2
602,Extraction control,24.08,2024-10-02,2
603,Normalization factor,25.64,2024-10-02,2
604,Target 1,NoSample,2024-10-09,2
605,Target 2,NoSample,2024-10-09,2
606,Extraction control,NoSample,2024-10-09,2
607,Normalization factor,NoSample,2024-10-09,2
608,Target 1,34.5,2024-10-16,2
609,Target 2,36.6,2024-10-16,2
610,Extraction control,25.27,2024-10-16,2
611,Normalization factor,25.73,2024-10-16,2
612,Target 1,36.39,2024-10-23,2
613,Target 2,39.52,2024-10-23,2
614,Extraction control,24.57,2024-10-23,2
615,Normalization factor,24.57,2024-10-23,2
616,Target 1,ND,2024-10-30,2
617,Target 2,ND,2024-10-30,2
618,Extraction control,24.81,2024-10-30,2
619,Normalization factor,25.56,2024-10-30,2
620,Target 1,35.6,2024-11-06,2
621,Target 2,36.14,2024-11-06,2
622,Extraction control,25.69,2024-11-06,2
